frame,edge_density,f_v,w_v,d_u_m,P_u,yolo_has_det,yolo_conf,yolo_dist_m,yolo_is_obst,rf_prob_obstacle,Decision
268,0.050,0.000,0.101,1.709,0.058,1,0.794,1.491,0,1.000,OBSTACLE
269,0.038,0.000,0.075,1.449,0.089,1,0.753,1.375,0,1.000,OBSTACLE
270,0.041,0.000,0.082,0.959,0.202,0,0.000,,0,1.000,OBSTACLE
271,0.026,0.000,0.052,1.141,0.149,1,0.811,0.920,0,1.000,OBSTACLE
272,0.015,0.000,0.030,1.399,0.097,0,0.000,,0,1.000,OBSTACLE
273,0.039,0.000,0.078,2.374,0.019,0,0.000,,0,0.000,FREE
274,0.008,0.000,0.017,1.687,0.060,1,0.500,1.762,0,0.990,OBSTACLE
275,0.042,0.000,0.085,0.974,0.197,1,0.601,1.033,0,1.000,OBSTACLE
276,0.019,0.000,0.038,1.415,0.095,0,0.000,,0,1.000,OBSTACLE
277,0.009,0.000,0.018,1.916,0.041,0,0.000,,0,0.000,FREE
278,0.004,0.000,0.008,2.152,0.028,0,0.000,,0,0.010,FREE
279,0.012,0.000,0.025,1.927,0.040,0,0.000,,0,0.000,FREE
280,0.021,0.000,0.043,1.149,0.147,1,0.758,1.005,0,1.000,OBSTACLE
281,0.057,0.000,0.114,2.172,0.027,1,0.882,2.447,0,0.000,FREE
282,0.061,0.000,0.123,1.121,0.154,0,0.000,,0,1.000,OBSTACLE
283,0.030,0.000,0.060,1.697,0.059,1,0.861,1.503,0,1.000,OBSTACLE
284,0.067,0.000,0.134,2.094,0.031,0,0.000,,0,0.000,FREE
285,0.025,0.000,0.051,2.017,0.035,0,0.000,,0,0.000,FREE
286,0.042,0.000,0.084,2.334,0.020,0,0.000,,0,0.000,FREE
287,0.041,0.000,0.082,1.053,0.173,0,0.000,,0,1.000,OBSTACLE
288,0.036,0.000,0.072,1.647,0.064,1,0.850,1.613,0,1.000,OBSTACLE
289,0.025,0.000,0.050,2.122,0.029,0,0.000,,0,0.000,FREE
290,0.053,0.000,0.105,1.234,0.128,1,0.701,2.777,0,1.000,OBSTACLE
291,0.046,0.000,0.091,1.369,0.102,1,0.784,0.821,0,1.000,OBSTACLE
292,0.046,0.000,0.093,0.817,0.256,0,0.000,,0,1.000,OBSTACLE
293,0.025,0.000,0.050,1.484,0.084,1,0.330,1.740,0,1.000,OBSTACLE
294,0.005,0.000,0.010,1.927,0.040,0,0.000,,0,0.010,FREE
295,0.047,0.000,0.093,2.369,0.019,0,0.000,,0,0.000,FREE
296,0.025,0.000,0.050,1.180,0.140,1,0.851,1.017,0,1.000,OBSTACLE
297,0.045,0.000,0.090,0.767,0.279,0,0.000,,0,1.000,OBSTACLE
